idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8511855;VIOLACION;VIOLACIÓN;2019-09-01 23:45:00;2019;Septiembre;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1289354948075;19.5477234166415;19.5477234166,-99.1289354948
8512596;VIOLACION;VIOLACIÓN;2019-09-02 11:50:00;2019;Septiembre;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1086092996465;19.3875680954714;19.3875680955,-99.1086092996
8514114;VIOLACION;VIOLACIÓN;2019-09-04 08:53:00;2019;Septiembre;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8515537;VIOLACION;VIOLACIÓN;2010-11-01 10:00:00;2010;Noviembre;Femenino;12;FISICA;VICTIMA;FUERO COMUN;-99.0406340395893;19.3122679206284;19.3122679206,-99.0406340396
8516132;VIOLACION;VIOLACIÓN;2019-09-06 21:00:00;2019;Septiembre;Femenino;20;FISICA;VICTIMA;FUERO COMUN;-98.9990014355657;19.2906116624102;19.2906116624,-98.9990014356
8516857;VIOLACION;VIOLACIÓN;2019-09-08 04:00:00;2019;Septiembre;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.076461300346;19.1858524959164;19.1858524959,-99.0764613003
8517408;VIOLACION;VIOLACIÓN;2019-09-09 04:00:00;2019;Septiembre;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1585896387334;19.3421952181731;19.3421952182,-99.1585896387
8519080;VIOLACION;VIOLACIÓN;2019-09-09 12:00:00;2019;Septiembre;Masculino;13;FISICA;VICTIMA;FUERO COMUN;-99.1931602551371;19.4756567722904;19.4756567723,-99.1931602551
8519455;VIOLACION;VIOLACIÓN;2019-09-10 04:00:00;2019;Septiembre;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1833168298858;19.2750943629768;19.275094363,-99.1833168299
8519578;VIOLACION;VIOLACIÓN;2019-08-23 23:00:00;2019;Agosto;Masculino;10;FISICA;VICTIMA;FUERO COMUN;-99.1383460197235;19.4265149381695;19.4265149382,-99.1383460197
8520060;VIOLACION;VIOLACIÓN;2019-09-11 15:20:00;2019;Septiembre;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0834318101442;19.4121452600924;19.4121452601,-99.0834318101
8520462;VIOLACION;VIOLACIÓN;2019-08-09 03:00:00;2019;Agosto;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2503913990176;19.3692018459007;19.3692018459,-99.250391399
8521514;VIOLACION;VIOLACIÓN;2019-03-17 03:00:00;2019;Marzo;Femenino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1438660002449;19.418475957253;19.4184759573,-99.1438660002
8522299;VIOLACION;VIOLACIÓN;2019-09-14 20:00:00;2019;Septiembre;Femenino;14;FISICA;VICTIMA;FUERO COMUN;-99.2275426444544;19.368131852595;19.3681318526,-99.2275426445
8522418;VIOLACION;VIOLACIÓN;2018-11-24 02:00:00;2018;Noviembre;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8522779;VIOLACION;VIOLACIÓN;2019-09-16 04:30:00;2019;Septiembre;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8523074;VIOLACION;VIOLACIÓN;2019-09-16 01:30:00;2019;Septiembre;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1619941003514;19.4032751996809;19.4032751997,-99.1619941004
8523126;VIOLACION;VIOLACIÓN;2019-09-16 23:30:00;2019;Septiembre;Femenino;36;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0815236043798;19.3123494431294;19.3123494431,-99.0815236044
8524959;VIOLACION;VIOLACIÓN;2019-09-18 11:30:00;2019;Septiembre;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0924621396768;19.4931497283411;19.4931497283,-99.0924621397
8525617;VIOLACION;VIOLACIÓN;2019-07-01 15:00:00;2019;Julio;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1412919501037;19.4312032061118;19.4312032061,-99.1412919501
8525795;VIOLACION;VIOLACIÓN;2019-09-20 05:00:00;2019;Septiembre;Femenino;15;FISICA;VICTIMA;FUERO COMUN;NA;NA;
