idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8511260;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-01 02:20:00;2019;Septiembre;Masculino;28;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2629934001808;19.3203439004999;19.3203439005,-99.2629934002
8511362;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-01 09:45:00;2019;Septiembre;Masculino;38;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2556425003021;19.3014021992471;19.3014021992,-99.2556425003
8511493;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-08-30 18:00:00;2019;Agosto;Masculino;45;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1016446798094;19.5074336920222;19.507433692,-99.1016446798
8511507;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-08-31 06:46:00;2019;Agosto;Masculino;42;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0546754523265;19.3290835718247;19.3290835718,-99.0546754523
8511508;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-01 14:40:00;2019;Septiembre;Masculino;35;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1323786002175;19.4282192023297;19.4282192023,-99.1323786002
8511530;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-08-31 15:30:00;2019;Agosto;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1296255385387;19.4354441955711;19.4354441956,-99.1296255385
8511627;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-01 01:00:00;2019;Septiembre;Masculino;20;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1320974962778;19.4432985894173;19.4432985894,-99.1320974963
8511857;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-02 03:40:00;2019;Septiembre;Masculino;62;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1274531199986;19.3707788967544;19.3707788968,-99.12745312
8511992;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-09-01 23:30:00;2019;Septiembre;Masculino;23;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0598652972329;19.2921478729338;19.2921478729,-99.0598652972
8512043;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA;2019-08-31 08:30:00;2019;Agosto;Masculino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0773890046584;19.4167872899091;19.4167872899,-99.0773890047
