ent,entidad,Municipio,Presidente,Partido
1,Aguascalientes,Aguascalientes,María Teresa Jiménez Esquivel,PAN logo (Mexico).svg Partido Acción Nacional
2,Aguascalientes,Asientos,Juan Luis Jasso Hernández,Morena logo (alt).svg Movimiento Regeneración Nacional
3,Aguascalientes,Calvillo,Adán Valdivia López,PAN logo (Mexico).svg Partido Acción Nacional
4,Aguascalientes,Cosío,Eusebio Enrique Delgado Esparza,Logo Partido Verde (México).svg Partido Verde Ecologista de México
5,Aguascalientes,Jesús María,José Antonio Arámbula López,PAN logo (Mexico).svg Partido Acción Nacional
6,Aguascalientes,Pabellón de Arteaga,Cuauhtemoc Escobedo Tejada,PRD logo (Mexico).svg Partido de la Revolución Democrática
7,Aguascalientes,Rincón de Romos,Jesús Prieto Díaz,PAN logo (Mexico).svg Partido Acción Nacional
8,Aguascalientes,San José de Gracia,María Cristina López González,PAN logo (Mexico).svg Partido Acción Nacional
9,Aguascalientes,Tepezalá,Omar Israel Camarillo,Logo Partido Verde (México).svg Partido Verde Ecologista de México
10,Aguascalientes,El Llano,César Pedroza Ortega,Worker's Party logo (Mexico).svg Partido del Trabajo
11,Aguascalientes,San Francisco de los Romo,Juan José Losoya Ponce,PRI logo (Mexico).svg Partido Revolucionario Institucional
