ent,entidad,mun,NOM_MUN,presidente,partido,periodo
7,Chiapas,1,Acacoyagua,Elmer Campos Gutiérrez,Chiapas Unido,2018-2021
7,Chiapas,2,Acala,Rodrigo Trinidad Rosales Franco,Chiapas Unido,2018-2021
7,Chiapas,3,Acapetahua,Javier Nieves Cruz,PVEM,2018-2021
7,Chiapas,4,Altamirano,Roberto Pinto Kanter,PVEM,2018-2021
7,Chiapas,5,Amatán,Manuel de Jesús Carpio Mayorga,MORENA,2018-2021
7,Chiapas,6,Amatenango de la Frontera,Samuel Gómez Carbajal,PRI,2018-2021
7,Chiapas,7,Amatenango del Valle,Julián Bautista Gómez,PRI,2018-2021
7,Chiapas,8,Ángel Albino Corzo,María del Cármen Fernández Benavente,PVEM,2018-2021
7,Chiapas,9,Arriaga,David Parada Vázquez,Chiapas Unido,2018-2021
7,Chiapas,10,Bejucal de Ocampo,Primitiva Roblero Ramírez,MORENA,2018-2021
7,Chiapas,11,Bella Vista,Octavio Hugo Morales Santizo,PRD,2018-2021
7,Chiapas,12,Berriozábal,Joaquín Zabadúa Alva,MORENA,2018-2021
7,Chiapas,13,Bochil,Gildardo Zenteno Moreno,PVEM,2018-2021
7,Chiapas,14,El Bosque,Aurelia Sánchez López,PRI,2018-2021
7,Chiapas,15,Cacahoatán,Julio César Calderón Sen,PRI,2018-2021
7,Chiapas,16,Catazajá,José Luis Damas Ortiz,MORENA,2018-2021
7,Chiapas,17,Cintalapa,José Francisco Nava Clemente,PVEM,2018-2021
7,Chiapas,18,Coapilla,Charito Pérez Pérez,PVEM,2018-2021
7,Chiapas,19,Comitán de Domínguez,Emmanuel Cordero Sánchez,MORENA,2018-2021
7,Chiapas,20,La Concordia,José Miguel Córdova García,Chiapas Unido,2018-2021
7,Chiapas,21,Copainalá,Adeldamar Santos Juárez,PVEM,2018-2021
7,Chiapas,22,Chalchihuitán,Margarita Díaz García,PAN,2018-2021
7,Chiapas,23,Chamula,Ponciano Gómez Gómez,MORENA,2018-2021
7,Chiapas,24,Chanal,Alejandra Isabel Martínez Ara,PRI,2018-2021
7,Chiapas,25,Chapultenango,Heydi Neydi Domínguez Pérez,Chiapas Unido,2018-2021
7,Chiapas,26,Chenalhó,Abraham Cruz Gómez,PVEM,2018-2021
7,Chiapas,27,Chiapa de Corzo,Jorge Humberto Molina Gómez,PVEM,2018-2021
7,Chiapas,28,Chiapilla,Jorge Octavio de León Vázquez,Chiapas Unido,2018-2021
7,Chiapas,29,Chicoasén,Ana Isabel Herrera Estrada,MORENA,2018-2021
7,Chiapas,30,Chicomuselo,Chary Yanet Ríos Ordóñez,PT,2018-2021
7,Chiapas,31,Chilón,Carlos Ildefonso Jiménez Trujillo,MORENA,2018-2021
7,Chiapas,32,Escuintla,Ever Daniel Velázquez Javalois,MORENA,2018-2021
7,Chiapas,33,Francisco León,Ana Caren Pablo Nañez,MORENA,2018-2021
7,Chiapas,34,Frontera Comalapa,Oscar Armando Ramírez Aguilar,Chiapas Unido,2018-2021
7,Chiapas,35,Frontera Hidalgo,Ever Herrera Ibarra,Chiapas Unido,2018-2021
