ent,entidad,mun,municipio,presidente,partido,periodo
1,Aguascalientes,1,Aguascalientes,María Teresa Jiménez Esquivel,PAN,2019-2021
1,Aguascalientes,2,Asientos,Juan Luis Jasso Hernández,MORENA,2019-2021
1,Aguascalientes,3,Calvillo,Adán Valdivia López,PAN,2019-2021
1,Aguascalientes,4,Cosío,Eusebio Enrique Delgado Esparza,PVEM,2019-2021
1,Aguascalientes,5,Jesús María,José Antonio Arámbula López,PAN,2019-2021
1,Aguascalientes,6,Pabellón de Arteaga,Cuauhtemoc Escobedo Tejada,PRD,2019-2021
1,Aguascalientes,7,Rincón de Romos,Jesús Prieto Díaz,PAN,2019-2021
1,Aguascalientes,8,San José de Gracia,María Cristina López González,PAN,2019-2021
1,Aguascalientes,9,Tepezalá,Omar Israel Camarillo,PVEM,2019-2021
1,Aguascalientes,10,El Llano,César Pedroza Ortega,PT,2019-2021
1,Aguascalientes,11,San Francisco de los Romo,Juan José Losoya Ponce,PRI,2019-2021
2,Baja California,1,Ensenada,Armando Ayala Robles,MORENA,2019-2021
2,Baja California,2,Mexicali,Marina del Pilar Ávila Olmeda,MORENA,2019-2021
2,Baja California,5,Rosarito,Hilda Araceli Brown Gigueredo,MORENA,2019-2021
2,Baja California,3,Tecate,Olga Zulema Adams Pereyra,MORENA,2019-2021
2,Baja California,4,Tijuana,Luis Arturo González Cruz,MORENA,2019-2021
3,Baja California Sur,1,Comondú,José Walter Valenzuela Acosta,MORENA,2018-2021
3,Baja California Sur,2,Mulegé,José Felipe Prado Bautista,PANAL,2018-2021
3,Baja California Sur,3,La Paz,Rubén Gregorio Muñoz Álvarez,MORENA,2018-2021
3,Baja California Sur,9,Loreto,Arely Arce Peralta,PAN,2018-2021
3,Baja California Sur,8,Los Cabos,Jesús Armida Castro Guzmán,MORENA,2018-2021
4,Campeche,1,Calkiní,Roque Jacinto Sánchez Golib,PRI,2018-2021
4,Campeche,2,Campeche,Eliseo Fernández Montufar,PAN,2018-2021
4,Campeche,3,Ciudad del Carmen,Oscar Roman Rosas González,PRI,2018-2021
4,Campeche,4,Champotón,Daniel Martín León Cruz,PRI,2018-2021
4,Campeche,5,Hecelchakán,José Dolores Brito Pech,PES,2018-2021
4,Campeche,6,Hopelchén,Sandy Areli Baas Cauich,PRI,2018-2021
4,Campeche,7,Palizada,Maritza Díaz Domínguez,PRI,2018-2021
4,Campeche,8,Tenabo,María del Carmen Uc Canul,MORENA,2018-2021
4,Campeche,9,Escárcega,Rodolfo Bautista Puc,MORENA,2018-2021
4,Campeche,10,Calakmul,Luis Felipe Mora Hernández,PRI,2018-2021
4,Campeche,11,Candelaria,Salvador Farías González,PAN,2018-2021
4,Campeche,12,Seybaplaya,Comité municipal,Comité municipal,2018-2021
